model_name,organization,announcement_date,total_params,active_params,param_disclosure,param_source_note,architecture_type,context_window,open_weights,frontier_at_release,frontier_open_at_release,cap_text,cap_vision,cap_audio,cap_video,cap_code_specialized,cap_reasoning,cap_tool_use,release_url,supporting_url
StableLM 7B (Alpha),Stability AI,2023-04-19,7000000000,7000000000,official,supporting_url (HF model card) backs context_window=4096,dense,4096,true,false,false,true,false,false,false,false,false,false,https://stability.ai/news-updates/stability-ai-launches-the-first-of-its-stablelm-suite-of-language-models,https://huggingface.co/stabilityai/stablelm-base-alpha-7b
StableLM 2 1.6B,Stability AI,2024-01-19,1644417024,1644417024,official,"Exact param count (1,644,417,024) and context=4096 from HF model card",dense,4096,true,false,false,true,false,false,false,false,false,false,https://stability.ai/news-updates/introducing-stable-lm-2,https://huggingface.co/stabilityai/stablelm-2-1_6b
MPT-7B,MosaicML,2023-05-05,6700000000,6700000000,official,,dense,2048,true,false,false,true,false,false,false,false,false,false,https://www.databricks.com/blog/mpt-7b,
MPT-30B,MosaicML,2023-06-22,30000000000,30000000000,official,,dense,8192,true,false,false,true,false,false,false,false,false,false,https://www.databricks.com/blog/mpt-30b,
RedPajama-INCITE-7B,Together,2023-05-05,6900000000,6900000000,official,supporting_url (HF model card) backs exact 6.9B param count,dense,2048,true,false,false,true,false,false,false,false,false,false,https://www.together.ai/blog/redpajama-models-v1,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base
StarCoder,BigCode,2023-05-09,15500000000,15500000000,official,supporting_url (HF model card) backs 15.5B and context=8192,dense,8192,true,false,true,true,false,false,false,true,false,false,https://arxiv.org/abs/2305.06161,https://huggingface.co/bigcode/starcoder
StarCoder2 15B,BigCode,2024-02-28,15000000000,15000000000,official,supporting_url (HF model card) backs context=16384 with sliding window 4096,dense,16384,true,false,false,true,false,false,false,true,false,false,https://arxiv.org/abs/2402.19173,https://huggingface.co/bigcode/starcoder2-15b
OLMo 7B,AI2,2024-02-01,7000000000,7000000000,official,supporting_url (HF model card) backs context=2048,dense,2048,true,false,false,true,false,false,false,false,false,false,https://allenai.org/blog/olmo-open-language-model-87ccfc95f580,https://huggingface.co/allenai/OLMo-7B
OLMo 2 13B,AI2,2024-11-26,13000000000,13000000000,official,supporting_url (HF model card) backs context=4096,dense,4096,true,false,false,true,false,false,false,false,false,false,https://allenai.org/blog/olmo2,https://huggingface.co/allenai/OLMo-2-1124-13B
Jamba,AI21 Labs,2024-03-28,52000000000,12000000000,official,supporting_url (arXiv paper) backs hybrid SSM-Transformer-MoE architecture,hybrid,256000,true,false,false,true,false,false,false,false,false,false,https://www.ai21.com/blog/announcing-jamba/,https://arxiv.org/abs/2403.19887
Jamba 1.5 Large,AI21 Labs,2024-08-22,398000000000,94000000000,official,HF model card confirms 398B total / 94B active; tool use (function calling + JSON) noted,hybrid,256000,true,false,false,true,false,false,false,false,false,true,https://huggingface.co/ai21labs/AI21-Jamba-Large-1.5,
