model_name,organization,announcement_date,total_params,active_params,param_disclosure,param_source_note,architecture_type,context_window,open_weights,frontier_at_release,frontier_open_at_release,cap_text,cap_vision,cap_audio,cap_video,cap_code_specialized,cap_reasoning,cap_tool_use,release_url,supporting_url
Phi-1,Microsoft,2023-06-20,1300000000,1300000000,official,,dense,2048,true,false,false,true,false,false,false,true,false,false,https://arxiv.org/abs/2306.11644,https://huggingface.co/microsoft/phi-1
Phi-1.5,Microsoft,2023-09-11,1300000000,1300000000,official,,dense,2048,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2309.05463,https://huggingface.co/microsoft/phi-1_5
Phi-2,Microsoft,2023-12-12,2700000000,2700000000,official,,dense,2048,true,false,false,true,false,false,false,false,false,false,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,https://huggingface.co/microsoft/phi-2
Phi-3-mini,Microsoft,2024-04-23,3800000000,3800000000,official,,dense,128000,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2404.14219,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/
Phi-3-small,Microsoft,2024-05-21,7000000000,7000000000,official,,dense,128000,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2404.14219,https://azure.microsoft.com/en-us/blog/new-models-added-to-the-phi-3-family-available-on-microsoft-azure/
Phi-3-medium,Microsoft,2024-05-21,14000000000,14000000000,official,,dense,128000,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2404.14219,https://azure.microsoft.com/en-us/blog/new-models-added-to-the-phi-3-family-available-on-microsoft-azure/
Phi-3-vision,Microsoft,2024-05-21,4200000000,4200000000,official,,dense,128000,true,false,false,true,true,false,false,false,false,false,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct,https://arxiv.org/abs/2404.14219
Phi-3.5-mini,Microsoft,2024-08-20,3800000000,3800000000,official,,dense,128000,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,https://techcommunity.microsoft.com/blog/azure-ai-foundry-blog/discover-the-new-multi-lingual-high-quality-phi-3-5-slms/4225280
Phi-3.5-MoE,Microsoft,2024-08-20,42000000000,6600000000,official,"42B total (16 experts with shared attention), 6.6B active with 2 experts per token",MoE,128000,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/microsoft/Phi-3.5-MoE-instruct,https://techcommunity.microsoft.com/blog/azure-ai-foundry-blog/announcing-the-availability-of-phi-3-5-moe-in-azure-ai-studio-and-github/4256278
Phi-3.5-vision,Microsoft,2024-08-20,4200000000,4200000000,official,,dense,128000,true,false,false,true,true,false,false,false,false,false,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,https://techcommunity.microsoft.com/blog/azure-ai-foundry-blog/discover-the-new-multi-lingual-high-quality-phi-3-5-slms/4225280
Phi-4,Microsoft,2024-12-12,14000000000,14000000000,official,,dense,16384,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2412.08905,https://huggingface.co/microsoft/phi-4
Phi-4-multimodal,Microsoft,2025-02-26,5600000000,5600000000,official,"Phi-4-mini backbone + vision + audio encoders",dense,128000,true,false,false,true,true,true,false,false,false,true,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/
Phi-4-mini,Microsoft,2025-02-26,3800000000,3800000000,official,,dense,128000,true,false,false,true,false,false,false,false,false,true,https://huggingface.co/microsoft/Phi-4-mini-instruct,https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/
Phi-4-reasoning,Microsoft,2025-04-30,14000000000,14000000000,official,,dense,32768,true,false,false,true,false,false,false,false,true,false,https://huggingface.co/microsoft/Phi-4-reasoning,https://arxiv.org/abs/2504.21318
Phi-4-mini-reasoning,Microsoft,2025-04-30,3800000000,3800000000,official,,dense,128000,true,false,false,true,false,false,false,false,true,false,https://huggingface.co/microsoft/Phi-4-mini-reasoning,https://arxiv.org/abs/2504.21233
Phi-4-mini-flash-reasoning,Microsoft,2025-07-09,3800000000,3800000000,official,"SambaY hybrid: Mamba SSM + sliding-window attention + GMU cross-decoder",hybrid,65536,true,false,false,true,false,false,false,false,true,false,https://azure.microsoft.com/en-us/blog/reasoning-reimagined-introducing-phi-4-mini-flash-reasoning/,https://huggingface.co/microsoft/Phi-4-mini-flash-reasoning
